variable_name,description,data_type,unit,source,notes
date,Calendar date for all aggregated data,string,YYYY-MM-DD,All datasets,Primary join key across datasets
bus_rides,Total number of CTA bus rides per day aggregated across all bus routes,integer,rides/day,CTA Bus Ridership (City of Chicago Data Portal),Outliers retained to preserve natural variability
rail_rides,Total number of CTA rail ('L') station entries per day,integer,rides/day,CTA Rail Ridership (City of Chicago Data Portal),Comma-separated ride counts cleaned and converted to integers
divvy_rides,Total number of Divvy bike-share trips per day,integer,trips/day,Divvy Trip Data,Derived from start_time; aggregated by date
TEMP,Mean daily temperature calculated from hourly observations,float,degrees Celsius,Kaggle Chicago Weather Database,Daily average of hourly temperature readings
PRCP,Mean daily precipitation based on hourly measurements,float,mm/day,Kaggle Chicago Weather Database,Daily mean; not the cumulative daily precipitation
HMDT,Daily average relative humidity,float,percent (%),Kaggle Chicago Weather Database,Computed from hourly humidity values
WND_SPD,Daily average wind speed,float,miles per hour (mph),Kaggle Chicago Weather Database,Computed from hourly wind speeds
ATM_PRESS,Daily average atmospheric pressure,float,millibars (mb),Kaggle Chicago Weather Database,Computed from hourly pressure values
