date,bus_rides,rail_rides,divvy_rides,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS
2024-11-01,615647,326053,15162,8.833333333333334,0.011250000000000001,67.34916666666668,4.4525,100.2725
2024-11-02,409674,239130,15325,10.706666666666665,0.0,68.86583333333333,4.28125,100.58958333333334
2024-11-03,266934,195095,11258,13.902499999999998,1.3158333333333332,70.21833333333333,8.925416666666667,99.67125
2024-11-04,550139,327279,13268,16.7725,21.297916666666666,93.48333333333333,7.697916666666667,98.94875
2024-11-05,517204,323771,10621,16.90875,19.392083333333332,91.64666666666666,9.087916666666667,98.47208333333333
2024-11-06,628749,365520,15668,11.99125,0.1075,82.19,4.570833333333334,99.59791666666666
2024-11-07,640423,384894,16627,11.135416666666666,0.007083333333333334,71.69916666666667,4.056666666666667,100.37
2024-11-08,598807,338444,16121,11.31375,0.0,75.2325,5.717083333333334,100.25958333333334
2024-11-09,389774,245573,11607,11.719583333333333,0.7516666666666666,69.15125,7.00375,100.03750000000001
2024-11-10,304838,198976,12744,12.514583333333334,6.032916666666666,81.76291666666667,7.5025,98.86791666666666
2024-11-11,553295,306231,14200,10.339583333333334,0.02791666666666667,74.85208333333334,8.910416666666666,99.29166666666667
2024-11-12,636857,373969,14220,8.87875,0.004166666666666667,68.90833333333333,6.736250000000001,100.38
2024-11-13,630763,370958,11862,9.372916666666667,7.482916666666667,77.58708333333334,7.925416666666667,99.69375000000001
2024-11-14,617682,375401,13244,11.304583333333333,5.060416666666667,87.52458333333334,5.144166666666667,98.85833333333333
2024-11-15,600138,339084,14183,10.475416666666666,0.037083333333333336,76.90166666666667,3.3208333333333333,99.76416666666667
2024-11-16,398264,268968,13137,10.544583333333334,0.0,74.68916666666667,5.3975,99.67791666666666
2024-11-17,306053,200100,12636,11.2325,0.2041666666666667,88.80208333333333,5.357083333333333,99.15208333333334
2024-11-18,562366,327139,9126,12.185416666666667,8.74875,95.21791666666667,5.739999999999999,98.90416666666665
2024-11-19,636056,375502,15439,13.264583333333334,3.220416666666667,82.60583333333334,8.584583333333333,98.1425
2024-11-20,622577,366343,10951,6.445416666666667,1.2437500000000001,75.33208333333333,8.489583333333334,98.68374999999999
2024-11-21,536529,353989,5422,3.844583333333333,5.694583333333333,87.02708333333334,10.502916666666666,98.41000000000001
2024-11-22,580042,368472,10864,7.503333333333334,0.5958333333333333,84.50166666666667,8.559166666666666,99.24708333333332
2024-11-23,382010,289849,9425,5.76875,0.050416666666666665,80.47208333333333,4.797916666666667,99.46833333333335
2024-11-24,299537,190073,8567,7.2437499999999995,0.0016666666666666668,81.99166666666666,5.14375,99.11500000000001
2024-11-25,510077,294322,9632,8.4025,0.16416666666666666,86.50083333333333,5.864166666666667,98.98041666666666
2024-11-26,515698,304740,7976,2.200833333333333,0.0,70.21583333333334,7.011666666666667,99.8
2024-11-27,475091,263826,7271,5.235833333333333,0.011250000000000001,67.67375,3.3966666666666665,99.08458333333334
2024-11-28,190299,113333,2741,1.3304166666666666,0.07458333333333333,79.03458333333333,7.8445833333333335,99.36583333333334
2024-11-29,342107,191845,2617,-1.9320833333333332,0.09000000000000001,76.9725,9.215833333333334,99.76958333333333
2024-11-30,307881,184965,3115,-3.3379166666666666,0.0,77.535,8.499583333333334,99.89999999999999
2024-12-01,248955,150000,3293,-3.595833333333333,0.0,89.05583333333334,6.665416666666666,100.15291666666667
2024-12-02,550901,295612,6392,-2.365416666666667,0.5958333333333333,87.40125,4.745833333333334,100.62708333333335
2024-12-03,604836,343642,7641,-0.7766666666666667,0.02791666666666667,81.12666666666667,7.343333333333334,100.62083333333334
2024-12-04,596492,347986,7795,-0.13499999999999998,0.12125000000000001,80.93833333333333,12.732916666666666,98.63499999999999
2024-12-05,560579,339975,7053,-3.67125,0.10208333333333335,81.09541666666667,10.227083333333333,100.22916666666667
2024-12-06,554637,314531,6976,-1.3062500000000001,0.0,71.31625,7.423333333333333,100.34249999999999
2024-12-07,377536,243445,7600,2.6770833333333335,0.0,79.15958333333333,9.45875,99.22000000000001
2024-12-08,308594,185168,8720,5.41125,0.042916666666666665,93.66958333333334,6.490416666666667,98.57541666666667
2024-12-09,582442,308396,9900,6.325,0.04958333333333333,87.89625,6.61625,98.54708333333333
2024-12-10,575451,344019,8987,1.42125,0.0,77.5625,5.7370833333333335,99.13208333333334
2024-12-11,573105,336961,7351,-2.14125,0.043750000000000004,72.77958333333333,8.997916666666667,99.16875
2024-12-12,478320,297032,4785,-8.580416666666666,0.002916666666666667,80.28958333333334,7.145416666666667,100.63125000000001
2024-12-13,518240,305425,5971,-3.5054166666666666,0.0,74.21791666666667,5.08125,101.49666666666667
2024-12-14,346719,223421,4644,1.5604166666666668,5.80125,79.01333333333334,9.000416666666666,100.97083333333335
2024-12-15,275508,169514,5119,4.44625,2.98625,96.67625,4.672083333333333,99.91791666666667
2024-12-16,548449,289985,7593,4.858333333333333,0.7820833333333334,93.05208333333333,6.9675,99.19916666666667
2024-12-17,579545,331281,8492,2.36,0.0004166666666666667,80.14333333333333,5.150833333333334,100.05958333333332
2024-12-18,575246,323667,7553,0.6437499999999999,0.018333333333333333,76.42041666666667,6.078749999999999,100.34083333333332
2024-12-19,549659,316455,6388,-0.022499999999999982,2.3945833333333333,72.42166666666667,4.958333333333333,100.06458333333335
2024-12-20,505841,276594,4827,1.04,1.9591666666666667,81.28208333333333,8.654583333333333,99.99583333333334
2024-12-21,345462,199310,3593,-2.4254166666666666,0.00375,70.47458333333334,4.397916666666666,100.8675
2024-12-22,268298,161180,3506,-0.33916666666666667,0.0,73.58833333333332,6.99125,100.52875
2024-12-23,423249,226681,4527,2.0908333333333333,0.13416666666666666,86.3925,7.449583333333333,99.78750000000001
2024-12-24,339283,153647,3298,2.375,0.0016666666666666668,76.46583333333334,3.9125,100.42375
